كود العطل (OBD),وصف المشكلة (بالعربية),قطعة الغيار المطلوبة,متوسط السعر (EGP),ساعات العمل,مصنعية تقريبية,المصدر,,,,,,
P0171,خليط فقير جداً (B1),طلمبة / رشاش / هواء,"3,800 - 8,000",1.5,"800 - 1,400",توفيقية,,,,,,
P0700,عطل نظام التحكم بالفتيس,فحص ضفيرة الفتيس,---,1,"800 - 1,500",توفيقية,,,,,,
P0037,جهد منخفض سخان شكمان 2,حساس أوكسجين خلفي,"3,200 - 5,800",1,500 - 800,توفيقية,,,,,,
P0401,تدفق EGR غير كافٍ,تنظيف مسارات صمام,---,2,"1,200 - 2,500",توفيقية,,,,,,
C1223,عطل عام في ABS,فحص كنترول ABS,---,1,"800 - 1,500",توفيقية,,,,,,
P0302,ميس فاير اسطوانة 2,بوجيه / موبينة,"1,600 - 3,800",0.5,300 - 500,توفيقية,,,,,,
P0744,إشارة متقطعة TCC,ضفيرة فتيس / سولينويد,"3,800 - 8,000",2,"1,200 - 2,500",توفيقية,,,,,,
P0125,حرارة تبريد غير كافية,ثرموستات كوعة,"1,400 - 3,200",1.5,"700 - 1,300",توفيقية,,,,,,
P0563,ارتفاع جهد النظام,كتاوت دينامو,"2,000 - 5,000",1,"600 - 1,200",توفيقية,,,,,,
P0050,دائرة سخان (B2/S1),حساس أوكسجين,"4,200 - 7,800",1,"600 - 1,100",توفيقية,,,,,,
P0442,تسريب بسيط في EVAP,فحص خراطيم / غطاء,---,1.5,"800 - 1,500",توفيقية,,,,,,
P2187,خليط فقير عند الأيدل,بلف تبخير / بوابة,"2,500 - 5,500",1,"700 - 1,300",توفيقية,,,,,,
P0131,جهد منخفض حساس شكمان,حساس أوكسجين أمامي,"3,800 - 7,000",1,600 - 900,توفيقية,,,,,,
P0501,مدى حساس السرعة,حساس VSS,"1,400 - 3,000",1,500 - 900,توفيقية,,,,,,
B1877,عطل شداد حزام الأمان,شداد حزام,"2,800 - 6,000",1.5,"800 - 1,500",توفيقية,,,,,,
P0304,ميس فاير اسطوانة 4,بوجيه / موبينة,"1,600 - 3,800",0.5,300 - 500,توفيقية,,,,,,
P0705,عطل مدى سلكتور الفتيس,سلكتور فتيس,"4,000 - 9,000",1.5,"1,000 - 1,800",توفيقية,,,,,,
P0030,دائرة سخان شكمان 1,حساس أوكسجين,"3,800 - 7,000",1,600 - 900,توفيقية,,,,,,
P0422,كفاءة المحفز الرئيسي,علبة بيئة,"15,000 - 40,000",2,"2,000 - 3,500",توفيقية,,,,,,
P2100,فتح دائرة موتور البوابة,بوابة كاملة,"7,000 - 16,000",1,"800 - 1,500",توفيقية,,,,,,
P0051,جهد منخفض سخان (B2),حساس أوكسجين,"4,500 - 8,000",1,"700 - 1,200",توفيقية,,,,,,
C1555,عطل موتور الباور ستيرنج,موتور دركسيون كهرباء (EPS),"12,000 - 28,000",3,"2,500 - 4,500",توفيقية,,,,,,
P0691,انخفاض فولتية مروحة 1,كتاوت مروحة / ضفيرة,"600 - 1,800",1,"500 - 1,000",توفيقية,,,,,,
P0234,تجاوز حد ضغط التيربو,بلف التربو (Wastegate),"5,500 - 12,000",2,"1,500 - 3,000",توفيقية,,,,,,
P050B,أداء توقيت الإشعال (برد),بوجيهات / تنظيف بوابة,"1,800 - 4,500",1,"600 - 1,200",توفيقية,,,,,,
C1231,عطل دائرة حساس الزاوية,حساس Steering Angle,"4,500 - 9,000",1.5,"1,000 - 2,000",توفيقية,,,,,,
P0031,جهد منخفض سخان (1/1),حساس أوكسجين أمامي,"4,000 - 7,500",1,"600 - 1,100",توفيقية,,,,,,
P0562,جهد النظام منخفض,بطارية / دينامو,"5,000 - 15,000",1,"500 - 1,000",توفيقية,,,,,,
P0171,خليط فقير (Bank 1),ماف / طلمبة / رشاش,"4,000 - 9,000",1.5,"1,000 - 2,000",توفيقية,,,,,,
P0720,عطل حساس سرعة المخرج,حساس Speed Sensor,"2,500 - 5,500",1,"700 - 1,400",توفيقية,,,,,,
P0113,دخل مرتفع حساس IAT,حساس حرارة الهواء,"1,800 - 4,000",0.5,400 - 800,توفيقية,,,,,,
P0507,سرعة الأيدل مرتفعة,تنظيف بوابة / ايدل,800 (منظفات),1,"700 - 1,400",توفيقية,,,,,,
P0037,جهد منخفض سخان (1/2),حساس أوكسجين خلفي,"3,200 - 6,000",1,"600 - 1,000",توفيقية,,,,,,
P0401,تدفق EGR غير كاف,تنظيف مسارات صمام,---,2,"1,500 - 3,000",توفيقية,,,,,,
P2195,حساس أوكسجين علق (فقير),حساس شكمان,"4,500 - 9,000",1,"800 - 1,500",توفيقية,,,,,,
P0016,عدم توافق الكرنك والكامة,طقم كاتينة,"10,000 - 25,000",4,"4,500 - 8,000",توفيقية,,,,,,
P0446,عطل تحكم تنفيس,بلف تنفيس كانستر,"2,000 - 4,800",1,"800 - 1,400",توفيقية,,,,,,
P2135,عدم توافق فولتية البوابة,بوابة هواء كاملة,"8,000 - 18,000",1,"1,000 - 2,000",توفيقية,,,,,,
P0032,جهد مرتفع سخان 1,حساس أوكسجين,"4,500 - 8,500",1,"800 - 1,400",توفيقية,,,,,,
P0450,عطل حساس ضغط EVAP,حساس ضغط التانك,"3,000 - 7,000",1.5,"1,000 - 2,000",توفيقية,,,,,,
P2401,دخل منخفض طلمبة EVAP,طلمبة كشف تسريب,"5,500 - 11,000",2,"1,500 - 2,500",توفيقية,,,,,,
P0117,دخل منخفض حساس الحرارة,حساس مياه,"800 - 2,000",0.5,400 - 800,توفيقية,,,,,,
P0604,عطل ذاكرة RAM الكنترول,تغيير ECU,"10,000 - 28,000",2,"3,500 - 6,000",توفيقية,,,,,,
B1201,عطل في عوامة الوقود,حساس مستوى البنزين,"2,000 - 4,500",1,"800 - 1,500",توفيقية,,,,,,
P0303,ميس فاير اسطوانة 3,بوجيه / موبينة,"1,800 - 4,200",0.5,400 - 800,توفيقية,,,,,,
P0732,غيار ثانٍ غير صحيح,فحص ميكانيكا الفتيس,---,5,"5,000+",توفيقية,,,,,,
P0036,دائرة سخان شكمان 2,حساس أوكسجين خلفي,"3,500 - 6,500",1,"700 - 1,200",توفيقية,,,,,,
P0447,فتح دائرة تنفيس EVAP,بلف تنفيس,"2,500 - 5,500",1,"800 - 1,500",توفيقية,,,,,,
P2110,نظام تحكم البوابة (Limp),فحص بوابة / برمجة,---,1,"1,000 - 2,000",توفيقية,,,,,,
P0172,خليط وقود غني (B1),حساس هواء / رشاشات,"4,200 - 8,500",1.5,"1,000 - 2,000",توفيقية,,,,,,
P0560,عطل فولتية النظام,فحص أصابع البطارية,---,1,"600 - 1,200",توفيقية,,,,,,
B1342,عطل وحدة التحكم ECU,صيانة الكنترول,"8,000 - 22,000",2.5,"2,500 - 5,000",توفيقية,,,,,,
P0501,تذبذب عداد السرعة (شائع في جرانتا),حساس سرعة (كيلومتر),"900 - 1,400",0.5,200 - 400,توفيقية.كوم,,,,,,
Mechanical,تسريب زيت من جوان الغطاء,جوان غطاء تكييهات,350 - 700,1,300 - 500,توفيقية.كوم,,,,,,
P0102,ضعف سحب واستهلاك بنزين عالي,حساس هواء (MAF),"2,500 - 4,500",0.5,200 - 300,توفيقية.كوم,,,,,,
Electrical,ضعف إضاءة التابلوه أو الأنوار,كتاوت تقوية / دينامو,"1,500 - 4,000",1.5,400 - 700,توفيقية.كوم,,,,,,
Mechanical,رعشة (تفتفة) في السحب,بوجيهات (شمعات احتراق),"1,200 - 3,500",0.5,200 - 400,توفيقية.كوم,,,,,,
Mechanical,صوت طقطقة مع الملفات,كوبلن خارجي (CV Joint),"2,000 - 4,500",1.5,500 - 900,توفيقية.كوم,,,,,,
P0507,تذبذب عداد الـ RPM,تنظيف بوابة (Throttle),600 (منظف),1,"500 - 1,000",توفيقية.كوم,,,,,,
Mechanical,تأخر الدوارة (مارش طويل),قلب طلمبة بنزين,"1,500 - 3,500",1,"600 - 1,200",توفيقية.كوم,,,,,,
Mechanical,تزييق مع المطبات,جلب مقصات (Bushings),"800 - 2,200",2,"1,000 - 1,800",توفيقية.كوم,,,,,,
Mechanical,"صوت ""نحرة"" أثناء المشي",بلية عجلة (Bearing),"1,800 - 4,200",1.5,"600 - 1,100",توفيقية.كوم,,,,,,
C1241,لمبة ABS منورة,حساس ABS (عجلة),"1,200 - 3,200",1,400 - 800,توفيقية.كوم,,,,,,
P0335,السيارة تبطل فجأة,حساس كرنك (Crank),"1,800 - 4,200",1,"600 - 1,100",توفيقية.كوم,,,,,,
Electrical,الزجاج لا يصعد (تعليق),ماكينة زجاج / مفتاح,"1,000 - 3,500",1,500 - 900,توفيقية.كوم,,,,,,
Mechanical,"صوت ""صفارة"" مع الدوارة",سير دينامو / كاتينة,"600 - 2,500",1,400 - 800,توفيقية.كوم,,,,,,
Mechanical,نقص مياه من الردياتير,تسييخ / تغيير رادياتير,"3,500 - 8,500",2,"800 - 1,500",توفيقية.كوم,,,,,,
Electrical,التكييف يفصل في الزحام,كلتش الكومبريسور,"2,500 - 5,500",2,"1,200 - 2,500",توفيقية.كوم,,,,,,
Mechanical,رائحة زيت محروق,تسريب زيت على الشكمان,---,1,"500 - 1,500",توفيقية.كوم,,,,,,
P2138,السيارة لا تستجيب للبنزين,دواسة بنزين كهرباء,"4,500 - 9,500",1,"600 - 1,100",توفيقية.كوم,,,,,,
P0011,صوت خشخشة في المحرك,بلف VVT,"2,800 - 5,500",1,"600 - 1,200",توفيقية.كوم,,,,,,
Mechanical,سخونة مفرطة (فجأة),خراطيم مياه (انفجار),"400 - 1,200",1,"500 - 1,000",توفيقية.كوم,,,,,,
Mechanical,الدوارة تأخذ وقت (بنزين),فلتر بنزين (داخل التانك),"800 - 2,200",1,500 - 900,توفيقية.كوم,,,,,,
Mechanical,"الفرامل ""بتمسك"" وتفك",كليبر فرامل (تعليق),"1,800 - 4,500",1.5,"800 - 1,400",توفيقية.كوم,,,,,,
P0597,حرارة لا تصل للمنتصف,ثرموستات كهرباء,"4,500 - 9,500",2,"1,200 - 2,000",توفيقية.كوم,,,,,,
Mechanical,الفتيس لا يتحرك من (P),ماكينة ستوب (فرامل),"600 - 1,500",0.5,300 - 600,توفيقية.كوم,,,,,,
Mechanical,تآكل الإطارات من الداخل,ضبط زوايا / مقصات,"400 - 1,200",1,"500 - 1,000",توفيقية.كوم,,,,,,
Mechanical,"صوت ""تزييق"" في الدركسيون",زيت باور ناقص,400 - 800,0.2,100 - 200,توفيقية.كوم,,,,,,
Mechanical,رعشة عند بداية التحرك,طقم دبرياج (أسطوانة),"4,500 - 10,000",4,"3,000 - 5,000",توفيقية.كوم,,,,,,
Mechanical,"صوت ""تخبيط"" في الشنطة",مساعدين شنطة / قفل,"800 - 2,500",0.5,300 - 600,توفيقية.كوم,,,,,,
Mechanical,صوت ونة في الكرونة,زيت كرونة / بلي,"2,500 - 8,000",3,"2,000 - 4,000",توفيقية.كوم,,,,,,
Mechanical,اهتزاز عند سرعة 80-100,ترصيص إطارات,300 - 600,0.5,300 - 500,توفيقية.كوم,,,,,,
Mechanical,"السير ""بيصفر"" (رطوبة)",سبراي سيور / تغيير,"500 - 1,200",0.5,300 - 500,توفيقية.كوم,,,,,,
Mechanical,صعوبة فتح الأبواب (خارج),مقبض باب / واير,"400 - 1,200",1,500 - 900,توفيقية.كوم,,,,,,
Mechanical,"صوت ""دبة"" عند الغيار",قواعد فتيس,"1,800 - 4,500",2,"1,000 - 1,800",توفيقية.كوم,,,,,,
Mechanical,"صوت ""خشخشة"" من الشكمان",علبة شكمان مخروقة,"1,500 - 4,000",1.5,"800 - 1,500",توفيقية.كوم,,,,,,
Mechanical,اهتزاز عند الوقوف (D),قاعدة موتور (يمين),"3,500 - 7,000",1.5,"800 - 1,500",توفيقية.كوم,,,,,,
Mechanical,المرايا لا تتحرك,موتور مرايا / زر,"800 - 2,500",1,"500 - 1,000",توفيقية.كوم,,,,,,
P0016,صوت ديزل في المحرك,طقم كاتينة (جنزير),"12,000 - 28,000",5,"4,000 - 7,000",توفيقية.كوم,,,,,,
Mechanical,صوت ونة في الفتيس (السرعة 2 و 3),بلية فتيس / زيت تخليقي,"1,500 - 3,500",4,"1,500 - 2,500",لادا جرانتا مصر,,,,,,
Mechanical,سخونة في الزحام (مروحة),موتور مروحة رادياتير,"2,200 - 4,500",1.5,400 - 800,لادا جرانتا مصر,,,,,,
P0115,خلل قراءة حرارة المحرك,حساس حرارة المياه,450 - 800,0.5,150 - 300,لادا مصر (جروب),,,,,,
Mechanical,نقص مياه التبريد (تسريب خفي),قربة مياه + غطاء,500 - 950,0.5,150 - 250,لادا مصر (جروب),,,,,,
P2015,عطل بوابة المانيفولد (VAG),طقم إصلاح بوابات,"3,500 - 7,500",3,"1,500 - 2,500",ملاك أودي,,,,,,
P0087,انخفاض ضغط مسطرة الوقود,طلمبة بنزين (HPFP),"12,000 - 22,000",2.5,"1,500 - 3,000",ملاك أودي,,,,,,
P1895,عطل في حساس وضع الفتيس,بوردة الميكاترونيك,"15,000 - 40,000",4,"3,500 - 6,000",ملاك أودي,,,,,,
P0306,ميس فاير (اسطوانة 6),بوجيه / موبينة,"1,500 - 3,800",0.5,200 - 400,ملاك بي إم,,,,,,
P2015,مدى أداء بوابة المانيفولد,طقم إصلاح مانيفولد,"2,500 - 6,000",2.5,"1,000 - 1,800",ملاك بي إم,,,,,,
P0087,انخفاض ضغط مسطرة الوقود,طلمبة ضغط عالي,"12,000 - 25,000",2,"1,500 - 3,000",ملاك بي ام,,,,,,
B1281,عطل هوائي الـ GPS,إريال السقف (GPS Antenna),"3,500 - 8,000",2,"1,200 - 2,500",ملاك بي ام,,,,,,
P0335,عطل حساس الكرنك,حساس كرنك,"1,200 - 2,600",1.5,500 - 800,ملاك تويوتا,,,,,,
P0705,عطل حساس وضع الفتيس,حساس سلکتور (TR),"2,500 - 5,500",1.5,"600 - 1,200",ملاك تويوتا,,,,,,
P0218,ارتفاع حرارة زيت الفتيس,زيت فتيس / مبرد,"3,000 - 6,500",2,"800 - 1,500",ملاك تويوتا,,,,,,
P0730,نسبة تروس غير صحيحة,فحص فتيس / زيت,---,3.0+,"2,000+",ملاك تويوتا,,,,,,
P0402,تدفق EGR زائد عن الحد,صمام EGR,"3,000 - 5,500",1.5,600 - 900,ملاك تويوتا,,,,,,
P0810,عطل تحكم القابض (Clutch),ديسك واسطوانة / بلية,"6,000 - 15,000",4,"2,000 - 3,500",ملاك تويوتا,,,,,,
P0705,عطل حساس وضع الفتيس,حساس سلكتور,"2,500 - 6,000",1.5,"600 - 1,200",ملاك تويوتا,,,,,,
P0251,عطل تحكم طلمبة الحقن (A),طلمبة ديزل / سولينويد,"15,000 - 40,000",4,"3,000 - 5,000",ملاك تويوتا,,,,,,
P0705,عطل مدى حساس السلكتور,حساس عصا الفتيس,"2,500 - 6,500",1.5,"600 - 1,200",ملاك تويوتا,,,,,,
P2195,حساس شكمان علق (Lean),حساس أوكسجين,"3,000 - 5,500",1,400 - 600,ملاك تويوتا,,,,,,
P0722,لا توجد إشارة سرعة الخرج,حساس فتيس خارجي,"1,800 - 3,600",1,500 - 800,ملاك تويوتا,,,,,,
P1135,عطل سخان حساس شكمان,حساس أوكسجين (معدل),"3,000 - 5,500",1,400 - 700,ملاك تويوتا,,,,,,
P0741,تعليق بلف محول العزم,بلف TCC / زيت فتيس,"4,500 - 9,500",3,"1,500 - 3,500",ملاك تويوتا,,,,,,
B1202,عطل في حساس الحزام,قفل حزام الأمان,"900 - 2,800",1,400 - 700,ملاك تويوتا,,,,,,
P0130,عطل دائرة الأوكسجين,حساس شكمان أمامي,"3,000 - 5,500",1,400 - 700,ملاك تويوتا,,,,,,
P0A80,تدهور حالة بطارية الهايبرد,استبدال خلايا / بطارية كاملة,"45,000 - 120,000",5,"4,000 - 8,000",ملاك تويوتا,,,,,,
C1241,جهد منخفض غير طبيعي (ABS/VSC),بطارية 12 فولت / دينامو,"4,500 - 12,000",1,300 - 600,ملاك تويوتا,,,,,,
P0A93,عطل نظام تبريد الانفرتر (Inverter),طلمبة مياه الانفرتر,"8,000 - 15,000",2,"1,000 - 2,000",ملاك تويوتا,,,,,,
C1231,إشارة حساس زاوية التوجيه خطأ,معايرة أو تغيير الحساس,"3,000 - 7,500",1.5,"800 - 1,600",ملاك تويوتا,,,,,,
B2799,عطل نظام الايموبلايزر,برمجة مفتاح / كنترول,"1,500 - 6,000",2,"1,500 - 3,000",ملاك تويوتا,,,,,,
C1280,عطل حساس معدل الانحراف,حساس Yaw Rate,"8,000 - 18,000",1.5,"1,200 - 2,500",ملاك تويوتا,,,,,,
P0A93,عطل تبريد الانفرتر (هايبرد),طلمبة مياه كهربائية,"9,000 - 18,000",2.5,"2,000 - 4,000",ملاك تويوتا,,,,,,
C0561,تعطيل نظام الثبات (إشارة خطأ),فحص كنترول المحرك,---,1,"500 - 1,000",ملاك جنرال موتورز,,,,,,
P0841,عطل حساس ضغط الزيت,حساس ضغط زيت فتيس,"2,500 - 5,500",2,"800 - 1,500",ملاك جيب,,,,,,
P0299,نقص شحن التيربو (Underboost),بلف التيربو / خراطيم,"5,500 - 15,000",2.5,"1,200 - 2,500",ملاك سكودا,,,,,,
U1113,فقد إشارة الكاميرا الأمامية,كاميرا تحديد المسار (Lane Assist),"15,000 - 35,000",2,"2,000 - 4,500",ملاك سكودا/فولكس,,,,,,
P0221,أداء حساس وضع البوابة,حساس دعسة (Pedal),"3,500 - 7,000",1,400 - 800,ملاك فولكس,,,,,,
P2004,علق بوابة المنايفولد (Open),بوابة المانيفولد (IMRC),"3,500 - 7,500",2,"800 - 1,500",ملاك فولكس,,,,,,
P2261,عطل بلف تصريف التيربو,Bypass Valve,"2,500 - 5,500",1.5,"600 - 1,000",ملاك فولكس,,,,,,
P2004,علق بوابة المانيفولد,مشغل بوابات الهواء,"3,500 - 8,000",2.5,"1,000 - 1,800",ملاك فولكس,,,,,,
P17BF,حماية مضخة الهيدروليك (DSG),طقم إصلاح ميكاترونيك,"12,000 - 25,000",4,"3,000 - 6,000",ملاك فولكس,,,,,,
P0700,عطل عام في الفتيس,فحص ضفيرة/زيت/كنترول,"5,000 - 15,000",2.0+,"1,500+",ملاك كيا,,,,,,
P0601,خطأ في ذاكرة الكنترول,شحن سوفتوير / تغيير,"5,000 - 15,000",2,"1,500 - 3,000",ملاك كيا,,,,,,
P0303,ميس فاير (اسطوانة 3),موبينة / بوجيه,"1,200 - 2,800",0.5,150 - 300,ملاك كيا,,,,,,
P0607,أداء كنترول المحرك (ECU),صيانة أو تغيير كنترول,"10,000 - 30,000",2,"1,500 - 3,000",ملاك كيا,,,,,,
P0641,جهد مرجع الحساس (A),فحص ضفيرة المحرك,---,2.0+,"1,000+",ملاك كيا,,,,,,
B1000,عطل داخلي بكنترول الوسائد,تغيير كنترول إيرباج,"5,000 - 15,000",2,"1,000 - 2,500",ملاك كيا,,,,,,
C0550,عطل داخلي بكنترول ECU,صيانة بوردة الكنترول,"3,500 - 8,000",2,"1,500 - 3,000",ملاك كيا,,,,,,
U0121,فقد الاتصال بكنترول ABS,ضفيرة ABS / فيوزات,---,2,"1,200 - 2,500",ملاك كيا,,,,,,
C0550,عطل برمجة الكنترول الداخلي,إعادة سوفت وير,"3,500 - 9,000",2,"1,500 - 3,000",ملاك كيا,,,,,,
P1825,عطل في نظام الدفع الرباعي,حساس ضغط زيت الـ 4WD,"6,500 - 14,000",2,"1,500 - 3,000",ملاك كيا,,,,,,
P3000,عطل غير محدد في نظام البطارية,فحص شامل لمنظومة الهايبرد,---,2,"1,500 - 3,000",ملاك ليد,,,,,,
P0410,عطل نظام الهواء الثانوي,طلمبة هواء / بلف,"4,000 - 8,500",2,"600 - 1,200",ملاك مرسيدس,,,,,,
P0355,عطل ملف الإشعال (E),موبينة اسطوانة 5,"1,500 - 3,500",0.5,200 - 350,ملاك مرسيدس,,,,,,
P0070,عطل حساس حرارة الجو,حساس حرارة خارجي,"450 - 1,200",0.5,150 - 300,ملاك مرسيدس,,,,,,
P2231,قصر دائرة إشارة الحساس,حساس شكمان,"3,000 - 5,500",1,400 - 600,ملاك مرسيدس,,,,,,
P0410,عطل نظام حقن الهواء الثانوي,طلمبة هواء (Air Pump),"5,500 - 12,000",2.5,"1,000 - 1,800",ملاك مرسيدس,,,,,,
C1A14,عطل رادار المسافة الأمامي,رادار التصادم (Radar Sensor),"25,000 - 65,000",3,"3,000 - 6,000",ملاك مرسيدس/فولفو,,,,,,
P0606,عطل في معالج الكنترول,صيانة أو تغيير ECU,"8,000 - 25,000",3.0+,"2,000+",ملاك ميتسوبيشي,,,,,,
P0605,خطأ في ذاكرة ROM الكنترول,كنترول محرك,"10,000 - 28,000",2,"1,500 - 3,000",ملاك ميتسوبيشي,,,,,,
P0720,عطل حساس سرعة الخرج,حساس Output Speed,"1,800 - 3,600",1,400 - 700,ملاك ميتسوبيشي,,,,,,
P0717,لا توجد إشارة حساس سرعة 1,حساس فتيس داخلي,"2,000 - 4,500",1.5,"600 - 1,000",ملاك ميتسوبيشي,,,,,,
P0234,شحن زائد للتيربو (Boost),بلف تيربو / خراطيم,"3,500 - 8,000",2,"800 - 1,500",ملاك نيسان,,,,,,
P0741,عطل في محول العزم (TCC),طقم اصلاح فتيس / زيت,"10,000+",4.0+,"2,500 - 5,000",ملاك نيسان,,,,,,
P0234,حالة شحن زائد للتيربو,صمام بوست / خراطيم,"3,000 - 6,500",1.5,500 - 900,ملاك نيسان,,,,,,
P0305,ميس فاير (اسطوانة 5),موبينة / بوجيه,"1,400 - 3,500",0.5,200 - 350,ملاك نيسان,,,,,,
P2187,خليط فقير عند الأيدل,بلف تبخير بنزين,"1,500 - 3,500",1,400 - 600,ملاك نيسان,,,,,,
P0087,ضغط وقود منخفض,طلمبة ضغط عالي (GDI),"10,000 - 22,000",2.5,"1,500 - 2,500",ملاك نيسان,,,,,,
P0A0D,جهد مرتفع في دائرة القفل,مفتاح الأمان (Interlock),"1,500 - 4,000",1,"500 - 1,000",ملاك نيسان,,,,,,
P0841,عطل حساس ضغط زيت CVT,حساس ضغط زيت فتيس,"4,500 - 9,000",2.5,"1,200 - 2,500",ملاك نيسان,,,,,,
B1049,عطل وسادة السائق (إشارة),شريط ايرباج,"1,600 - 4,000",1,500 - 900,ملاك نيسان,,,,,,
P0841,عطل حساس ضغط زيت (CVT),حساس ضغط الفتيس,"4,500 - 10,000",2.5,"1,500 - 2,500",ملاك نيسان,,,,,,
P0505,عطل نظام التحكم بالسرعة الخامد,صمام الأيدل (Idle),"1,800 - 3,800",1,350 - 500,ملاك هيونداي,,,,,,
P0441,تدفق تطهير EVAP غير صحيح,صمام كانستر (Purge),"1,200 - 2,800",0.7,250 - 450,ملاك هيونداي,,,,,,
P0351,عطل ملف الإشعال (A),مبينة (Coil Pack),"1,300 - 3,200",0.5,150 - 300,ملاك هيونداي,,,,,,
P0200,عطل في دائرة الرشاشات,ضفيرة رشاشات,"1,500 - 4,000",2,"600 - 1,200",ملاك هيونداي,,,,,,
P0304,ميس فاير (اسطوانة 4),بوجيه / موبينة,"1,200 - 2,800",0.5,150 - 300,ملاك هيونداي,,,,,,
P0715,عطل حساس سرعة الفتيس,حساس Input Speed,"1,800 - 3,500",1,400 - 700,ملاك هيونداي,,,,,,
B0001,عطل دايرة الإيرباج (Sqn 1),شريط إيرباج (Clock Spring),"1,500 - 4,500",1.5,400 - 700,ملاك هيونداي,,,,,,
P0463,دخل مرتفع حساس البنزين,عوامة بنزين,"1,100 - 2,500",1,300 - 500,ملاك هيونداي,,,,,,
P0731,غيار أول غير صحيح,فحص ميكانيكا الفتيس,---,4.0+,"3,000+",ملاك هيونداي,,,,,,
P0500,عطل حساس السرعة,حساس VSS,"900 - 2,000",1,300 - 500,ملاك هيونداي,,,,,,
P050A,أداء تشغيل بارد (Idle),تنظيف بوابة / حساس,400 (منظف),1,400 - 600,ملاك هيونداي,,,,,,
P0336,مدى أداء حساس الكرنك,حساس كرنك,"1,200 - 2,900",1.5,500 - 800,ملاك هيونداي,,,,,,
P0730,نسبة تروس غير صحيحة,عمرة فتيس / زيت,---,4.0+,"3,000+",ملاك هيونداي,,,,,,
P0327,انخفاض دخل حساس الخبط,حساس Knock,"1,700 - 3,200",2,"700 - 1,300",ملاك هيونداي,,,,,,
P0641,عطل جهد مرجع الحساسات,فحص ضفيرة كهرباء,---,2.5,"1,200 - 2,500",ملاك هيونداي,,,,,,
P2106,نظام تحكم بوابة (قيود),برمجة بوابة / كنترول,---,1,"600 - 1,200",ملاك هيونداي,,,,,,
P2110,نظام تحكم بوابة (RPM),برمجة / تنظيف بوابة,---,1,500 - 800,ملاك هيونداي,,,,,,
B0020,عطل وسادة هوائية جانبية,ايرباج الكرسي / فيشة,"2,500 - 6,000",2,"800 - 1,500",ملاك هيونداي,,,,,,
P2279,تسريب هواء للمانيفولد,جوان مانيفولد / بوابة,"800 - 2,200",2,"1,000 - 1,800",ملاك هيونداي,,,,,,
P0171,خليط فقير (Bank 1),طلمبة / حساس شكمان,"3,200 - 6,000",1,500 - 900,ملاك هيونداي,,,,,,
B1421,عطل حساس الشمس (تكييف),حساس Solar (Dashboard),"1,200 - 2,800",1,400 - 700,ملاك هيونداي,,,,,,
C1241,انخفاض جهد بطارية (ABS),فحص شحن الدينامو,---,1,400 - 700,ملاك هيونداي,,,,,,
P17D8,حرارة مفرطة في القابض (DSG),طقم كلاتشات / زيت فتيس,"18,000 - 35,000",5,"4,000 - 7,000",ميكانيكي دوت كوم,,,,,,
P0087,انخفاض ضغط الوقود (HP),طلمبة ضغط عالي,"14,000 - 30,000",2.5,"2,000 - 4,000",ميكانيكي دوت كوم,,,,,,
P0420,ضعف كفاءة علبة البيئة,علبة بيئة أو تنظيف,"6,000 - 20,000",2,"700 - 1,500",نايل موتورز,,,,,,
P0121,مشكلة حساس البوابة,حساس TPS / بوابة,"3,000 - 7,000",1,400 - 700,نايل موتورز,,,,,,
P0511,عطل دائرة التحكم بالهواء,تنظيف البوابة,300 (منظف),1,300 - 500,نايل موتورز,,,,,,
P0201,عطل دائرة الرشاش (1),رشاش بنزين (Injector),"1,500 - 3,500",1.5,400 - 700,نايل موتورز,,,,,,
P0128,حرارة المحرك أقل من المطلوب,ثرموستات كوعة,"850 - 1,800",1.5,400 - 700,نايل موتورز,,,,,,
P0217,ارتفاع حرارة المحرك الزائد,رادياتير / طلمبة مياه,"3,500 - 7,000",2.5,"800 - 1,500",نايل موتورز,,,,,,
P0136,عطل حساس الأكسجين خلفي,حساس شكمان 2,"2,500 - 4,200",1,300 - 500,نايل موتورز,,,,,,
P0131,جهد منخفض حساس شكمان 1,حساس شكمان,"2,800 - 4,800",1,300 - 500,نايل موتورز,,,,,,
P0103,جهد مرتفع حساس الماف,حساس MAF,"2,500 - 5,000",0.5,200 - 350,نايل موتورز,,,,,,
P0421,كفاءة المحفز دافئ,علبة بيئة,"7,000 - 18,000",2,"700 - 1,200",نايل موتورز,,,,,,
P0012,تأخر توقيت الكامة (Bank 1),زيت محرك / بلف VVT,"1,500 (تغيير زيت)",1,300 - 500,نايل موتورز,,,,,,
P0403,عطل دائرة تحكم EGR,صمام EGR / ضفيرة,"3,200 - 6,000",1.5,500 - 900,نايل موتورز,,,,,,
P0339,إشارة حساس كرنك متقطعة,حساس كرنك,"1,200 - 2,800",1.5,500 - 900,نايل موتورز,,,,,,
P0139,استجابة بطيئة حساس شكمان 2,حساس أوكسجين خلفي,"2,500 - 4,600",1,300 - 500,نايل موتورز,,,,,,
P0604,خطأ في رام الكنترول (RAM),سوفتوير / تغيير ECU,"8,000 - 20,000",2,"1,500 - 3,000",نايل موتورز,,,,,,
P0172,خليط وقود غني جداً (Rich),رشاشات / منظم ضغط,"2,500 - 5,000",1.5,500 - 900,نايل موتورز,,,,,,
